afwiki.tsv:118594	Optogenetika	1524272	2017-01-13T13:08:56Z	doi	10.7554/eLife.10482
arwiki.tsv:405464	التهاب الكبد ب	22060376	2017-01-02T22:57:35Z	doi	10.7554/eLife.00049
arwiki.tsv:918000	تذرية ليزرية	26223026	2017-12-23T22:05:00Z	doi	10.7554/eLife.02730
arwiki.tsv:1776671	علم البصريات الوراثي	21475754	2016-10-21T13:15:02Z	doi	10.7554/eLife.10482
arwiki.tsv:1798886	راندي شيكمان	11760028	2013-10-08T17:01:48Z	doi	10.7554/eLife.00855
arwiki.tsv:2669865	علاج مركب	15876081	2015-05-11T17:34:18Z	doi	10.7554/eLife.00747
arwiki.tsv:2737889	بريفوتيلا	16150927	2015-06-15T01:51:52Z	doi	10.7554/eLife.01202
arwiki.tsv:2835191	فيروس شيكونغونيا	16800309	2015-08-30T23:11:35Z	doi	10.7554/eLife.00435
arwiki.tsv:2864722	هومو ناليدي	16948143	2015-09-11T01:57:30Z	doi	10.7554/eLife.09561
arwiki.tsv:2864722	هومو ناليدي	16947889	2015-09-11T00:45:21Z	doi	10.7554/eLife.09560
arwiki.tsv:3049102	فيروس زيكا	18201560	2016-02-01T16:27:07Z	doi	10.7554/eLife.08347
arwiki.tsv:3866364	مجهر إلكتروني فائق البرودة	24811279	2017-10-04T10:47:58Z	doi	10.7554/elife.03678
arwiki.tsv:3964831	محرك الجينات	25677436	2017-11-23T22:05:04Z	doi	10.7554/eLife.03401
astwiki.tsv:79694	Virus del Zika	1002490	2016-05-30T16:27:24Z	doi	10.7554/eLife.08347
astwiki.tsv:113403	Escherichia coli	1245555	2018-02-24T14:16:43Z	doi	10.7554/eLife.05826
azwiki.tsv:418927	Homo naledi	3416607	2015-11-08T17:47:54Z	doi	10.7554/eLife.09560
bewiki.tsv:518807	Homo naledi	2827146	2017-09-18T19:39:46Z	doi	10.7554/eLife.09560
bnwiki.tsv:509157	চিকুনগুনিয়া	2335636	2016-09-05T10:44:24Z	doi	10.7554/eLife.00435
bnwiki.tsv:558400	সালোকসংশ্লেষণের বিবর্তন	2557865	2017-03-18T18:32:27Z	doi	10.7554/eLife.00961
bswiki.tsv:407603	Hipokampus	2694684	2016-02-12T16:44:28Z	doi	10.7554/eLife.09960
bswiki.tsv:413551	Dinein	2731643	2016-06-14T23:18:04Z	doi	10.7554/eLife.03351
bswiki.tsv:422071	Tamno masno tkivo	2785658	2016-12-10T00:11:03Z	doi	10.7554/eLife.00065
bswiki.tsv:422937	Fototaksija	2789520	2016-12-26T12:18:53Z	doi	10.7554/eLife.02730
cswiki.tsv:180261	Ploštěnci	13684675	2016-05-16T06:49:49Z	doi	10.7554/eLife.05503
cswiki.tsv:1135057	Homo naledi	12881105	2015-09-10T13:28:08Z	doi	10.7554/eLife.09560
cywiki.tsv:166133	Ogof y 'Rising Star'	1723517	2015-09-28T22:07:28Z	doi	10.7554/eLife.09560
cywiki.tsv:166133	Ogof y 'Rising Star'	1723521	2015-09-28T22:42:03Z	doi	10.7554/eLife.09561
cywiki.tsv:166147	Homo naledi	2579054	2017-05-16T06:24:14Z	doi	10.7554/eLife.24232
cywiki.tsv:166147	Homo naledi	2579054	2017-05-16T06:24:14Z	doi	10.7554/eLife.24231
cywiki.tsv:166147	Homo naledi	1723566	2015-09-29T12:42:53Z	doi	10.7554/eLife.09561
cywiki.tsv:166147	Homo naledi	2579054	2017-05-16T06:24:14Z	doi	10.7554/eLife.09560
cywiki.tsv:167671	Epidemig y firws Zika	1736730	2016-02-24T06:35:13Z	doi	10.7554/eLife.08347
dawiki.tsv:875946	Homo naledi	8516607	2016-04-15T07:49:20Z	doi	10.7554/eLife.09560
dewiki.tsv:1271374	Chromatin	121256544	2013-08-06T09:56:06Z	doi	10.7554/eLife.00078
dewiki.tsv:142540	Pferde	171484957	2017-11-28T19:49:35Z	doi	10.7554/eLife.29944
dewiki.tsv:1367909	Platynereis dumerilii	167449642	2017-07-20T22:01:09Z	doi	10.7554/eLife.02730
dewiki.tsv:1158767	Urvorfahr	165942355	2017-05-30T15:40:21Z	doi	10.7554/eLife.14589
dewiki.tsv:1226714	Max-Planck-Institut für molekulare Physiologie	152036269	2016-02-29T15:59:23Z	doi	10.7554/eLife.05269
dewiki.tsv:1226714	Max-Planck-Institut für molekulare Physiologie	152036269	2016-02-29T15:59:23Z	doi	10.7554/eLife.02978
dewiki.tsv:1226714	Max-Planck-Institut für molekulare Physiologie	152036269	2016-02-29T15:59:23Z	doi	10.7554/eLife.01030
dewiki.tsv:1764115	Elephas	166173921	2017-06-07T18:03:53Z	doi	10.7554/eLife.25413
dewiki.tsv:291722	Rheumatoide Arthritis	124223276	2013-11-07T10:15:47Z	doi	10.7554/eLife.01608
dewiki.tsv:34770	Homo	145901377	2015-09-10T10:38:25Z	doi	10.7554/eLife.09560
dewiki.tsv:1794811	Terrence J. Sejnowski	150594449	2016-01-23T15:11:35Z	doi	10.7554/eLife.10778
